FIELD1,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Point_Based_Result,Decision_Tree_Result
0,67,male,2,own,NA,little,1169,6,radio/TV,good,True,True
1,22,female,2,own,little,moderate,5951,48,radio/TV,bad,False,False
2,49,male,1,own,little,NA,2096,12,education,good,True,True
3,45,male,2,free,little,little,7882,42,furniture/equipment,good,False,False
4,53,male,2,free,little,little,4870,24,car,bad,False,False
5,35,male,1,free,NA,NA,9055,36,education,good,False,False
6,53,male,2,own,quite rich,NA,2835,24,furniture/equipment,good,True,True
7,35,male,3,rent,little,moderate,6948,36,car,good,False,True
8,61,male,1,own,rich,NA,3059,12,radio/TV,good,True,True
9,28,male,3,own,little,moderate,5234,30,car,bad,False,False
10,25,female,2,rent,little,moderate,1295,12,car,bad,False,False
11,24,female,2,rent,little,little,4308,48,business,bad,False,False
12,22,female,2,own,little,moderate,1567,12,radio/TV,good,True,True
13,60,male,1,own,little,little,1199,24,car,bad,False,False
14,28,female,2,rent,little,little,1403,15,car,good,True,True
15,32,female,1,own,moderate,little,1282,24,radio/TV,bad,False,True
16,53,male,2,own,NA,NA,2424,24,radio/TV,good,True,True
17,25,male,2,own,NA,little,8072,30,business,good,False,False
18,44,female,3,free,little,moderate,12579,24,car,bad,False,False
19,31,male,2,own,quite rich,NA,3430,24,radio/TV,good,False,True
20,48,male,2,own,little,NA,2134,9,car,good,True,True
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,good,True,True
22,48,male,1,rent,little,little,2241,10,car,good,True,True
23,44,male,2,own,moderate,moderate,1804,12,car,good,True,True
24,26,male,2,own,NA,NA,2069,10,furniture/equipment,good,True,True
25,36,male,1,own,little,little,1374,6,furniture/equipment,good,True,True
26,39,male,1,own,little,NA,426,6,radio/TV,good,True,True
27,42,female,2,rent,rich,rich,409,12,radio/TV,good,True,True
28,34,male,2,own,little,moderate,2415,7,radio/TV,good,True,True
29,63,male,2,own,little,little,6836,60,business,bad,False,False
30,36,male,2,own,rich,moderate,1913,18,business,good,True,True
31,27,male,2,own,little,little,4020,24,furniture/equipment,good,False,True
32,30,male,2,own,moderate,moderate,5866,18,car,good,True,True
33,57,male,1,rent,NA,NA,1264,12,business,good,True,True
34,33,female,3,own,little,rich,1474,12,furniture/equipment,good,True,True
35,25,male,1,own,little,moderate,4746,45,radio/TV,bad,False,False
36,31,male,2,free,little,NA,6110,48,education,good,False,True
37,37,male,2,own,little,rich,2100,18,radio/TV,bad,False,False
38,37,male,2,own,little,rich,1225,10,domestic appliances,good,True,True
39,24,male,2,own,little,moderate,458,9,radio/TV,good,True,True
40,30,male,3,own,quite rich,NA,2333,30,radio/TV,good,False,True
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good,True,True
42,44,male,1,own,little,moderate,6204,18,repairs,good,False,True
43,24,male,2,rent,moderate,little,6187,30,car,good,False,True
44,58,female,1,free,little,little,6143,48,car,bad,False,False
45,35,female,3,own,little,NA,1393,11,car,good,True,True
46,39,male,2,own,quite rich,NA,2299,36,radio/TV,good,False,True
47,23,female,0,rent,quite rich,little,1352,6,car,good,True,True
48,39,male,1,own,little,NA,7228,11,car,good,False,True
49,28,female,2,own,moderate,NA,2073,12,radio/TV,good,True,True
50,29,male,1,own,NA,moderate,2333,24,furniture/equipment,good,False,True
51,30,male,3,own,little,moderate,5965,27,car,good,False,True
52,25,male,2,own,little,NA,1262,12,radio/TV,good,True,True
53,31,male,2,own,NA,NA,3378,18,car,good,True,True
54,57,male,2,free,little,moderate,2225,36,car,bad,False,False
55,26,male,1,own,NA,NA,783,6,car,good,True,True
56,52,male,3,own,NA,moderate,6468,12,radio/TV,bad,False,False
57,31,female,2,own,little,NA,9566,36,radio/TV,good,False,False
58,23,female,3,own,little,rich,1961,18,car,good,True,True
59,23,female,1,rent,little,little,6229,36,furniture/equipment,bad,False,False
60,27,male,2,own,little,moderate,1391,9,business,good,True,True
61,50,male,2,own,NA,moderate,1537,15,radio/TV,good,True,True
62,61,male,3,free,little,moderate,1953,36,business,bad,False,False
63,25,male,2,own,little,moderate,14421,48,business,bad,False,False
64,26,female,2,own,little,NA,3181,24,radio/TV,good,False,True
65,48,male,2,own,NA,NA,5190,27,repairs,good,True,True
66,29,female,2,own,little,NA,2171,12,radio/TV,good,True,True
67,22,male,2,own,rich,moderate,1007,12,car,good,True,True
68,37,male,2,free,little,NA,1819,36,education,bad,False,False
69,25,female,2,own,NA,NA,2394,36,radio/TV,good,False,True
70,30,female,2,own,little,NA,8133,36,car,good,False,False
71,46,male,1,rent,NA,NA,730,7,radio/TV,good,True,True
72,51,male,3,free,little,little,1164,8,vacation/others,good,True,True
73,41,female,1,own,little,moderate,5954,42,business,good,True,True
74,40,male,3,own,NA,little,1977,36,education,bad,False,False
75,66,male,3,free,little,little,1526,12,car,good,True,True
76,34,male,2,own,little,little,3965,42,radio/TV,bad,False,False
77,51,male,2,own,little,moderate,4771,11,radio/TV,good,True,True
78,39,male,1,own,NA,NA,9436,54,car,good,False,False
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good,False,True
80,44,female,2,own,NA,NA,5943,24,radio/TV,bad,False,False
81,47,male,2,own,quite rich,NA,1213,15,radio/TV,good,True,True
82,24,female,1,rent,moderate,NA,1568,18,business,good,True,True
83,58,female,1,own,little,little,1755,24,vacation/others,good,True,True
84,52,male,1,own,little,little,2315,10,radio/TV,good,True,True
85,29,female,3,own,little,NA,1412,12,business,good,True,True
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,good,True,True
87,47,male,2,free,moderate,moderate,12612,36,education,bad,False,True
88,30,male,3,own,moderate,little,2249,18,car,good,True,True
89,28,male,2,own,little,little,1108,12,repairs,bad,False,False
90,56,male,2,own,little,NA,618,12,radio/TV,good,True,True
91,54,male,2,own,little,little,1409,12,car,good,True,True
92,33,female,1,own,NA,NA,797,12,radio/TV,bad,False,False
93,20,male,2,rent,NA,rich,3617,24,furniture/equipment,good,False,True
94,54,male,2,own,rich,moderate,1318,12,car,good,True,True
95,58,male,2,rent,little,moderate,15945,54,business,bad,False,False
96,61,female,2,own,NA,NA,2012,12,education,good,True,True
97,34,male,2,own,moderate,moderate,2622,18,business,good,True,True
98,36,male,2,own,little,moderate,2337,36,radio/TV,good,False,True
99,36,male,3,rent,NA,moderate,7057,20,car,good,False,True
100,41,male,1,rent,moderate,NA,1469,24,car,good,True,True
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good,False,True
102,24,female,2,own,little,NA,932,6,radio/TV,good,True,True
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good,True,True
104,26,male,2,rent,NA,NA,2445,12,car,good,True,True
105,39,male,3,own,little,moderate,11938,24,vacation/others,bad,False,False
106,39,male,3,own,little,NA,6458,18,car,bad,False,False
107,32,male,2,own,little,moderate,6078,12,car,good,False,True
108,30,female,2,own,NA,little,7721,24,furniture/equipment,good,False,True
109,35,male,2,own,quite rich,moderate,1410,14,business,good,True,True
110,31,male,2,own,moderate,moderate,1449,6,business,good,True,True
111,23,female,2,rent,little,rich,392,15,education,good,True,True
112,28,male,1,rent,little,moderate,6260,18,car,good,False,True
113,25,female,2,own,little,NA,7855,36,car,bad,False,False
114,35,male,2,own,quite rich,little,1680,12,radio/TV,good,True,True
115,47,male,2,own,NA,NA,3578,48,radio/TV,good,True,True
116,30,female,3,own,NA,little,7174,42,radio/TV,bad,False,False
117,27,female,2,rent,NA,little,2132,10,furniture/equipment,good,True,True
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad,False,False
119,36,male,3,own,quite rich,moderate,2366,12,car,good,True,True
120,25,female,2,own,little,little,1835,21,radio/TV,bad,False,False
121,41,female,3,rent,little,NA,3868,24,car,good,True,True
122,24,male,1,rent,little,NA,1768,12,furniture/equipment,good,True,True
123,63,male,2,free,little,rich,781,10,car,good,True,True
124,27,female,2,rent,NA,moderate,1924,18,furniture/equipment,bad,False,False
125,30,male,2,own,little,little,2121,12,car,good,True,True
126,40,male,1,own,little,little,701,12,radio/TV,good,True,True
127,30,male,2,own,little,moderate,639,12,repairs,bad,False,False
128,34,male,3,own,little,moderate,1860,12,car,good,True,True
129,29,female,2,own,little,little,3499,12,car,bad,False,False
130,24,female,2,own,NA,moderate,8487,48,car,good,False,False
131,29,male,2,own,little,little,6887,36,education,bad,False,False
132,27,male,1,own,little,NA,2708,15,furniture/equipment,good,True,True
133,47,male,2,free,little,NA,1984,18,furniture/equipment,good,True,True
134,21,female,2,own,moderate,NA,10144,60,radio/TV,good,False,False
135,38,female,2,own,NA,NA,1240,12,radio/TV,good,True,True
136,27,male,2,own,rich,NA,8613,27,car,good,False,False
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad,False,False
138,35,male,2,own,NA,moderate,2728,15,radio/TV,good,True,True
139,44,female,1,rent,little,rich,1881,12,radio/TV,good,True,True
140,27,male,0,own,rich,rich,709,6,car,good,True,True
141,30,female,3,own,little,moderate,4795,36,radio/TV,good,False,True
142,27,male,3,own,little,little,3416,27,radio/TV,good,False,True
143,22,male,2,own,little,little,2462,18,furniture/equipment,bad,False,False
144,23,female,2,own,little,NA,2288,21,furniture/equipment,good,True,True
145,30,male,2,own,moderate,moderate,3566,48,business,good,True,True
146,39,female,2,own,little,little,860,6,car,good,True,True
147,51,female,2,own,moderate,NA,682,12,car,good,True,True
